Epoch,Loss,Accuracy
1,5.045478081216618,5.337519623233909
2,3.2570566709349755,38.25222396650968
3,1.7233228472625317,74.75143903715332
4,0.6143595683736865,95.10727367870226
5,0.12753989620983194,99.81684981684981
6,0.03306836685558565,99.9738356881214
7,0.014363842243392046,100.0
8,0.008902288533012274,100.0
9,0.006466943333495637,100.0
10,0.005097727251688944,100.0
11,0.0038236160952673883,100.0
12,0.0030429627822369945,100.0
13,0.0023971896810254375,100.0
14,0.0019146384818631472,100.0
15,0.0016269083475364612,100.0
16,0.0013310133481911402,100.0
17,0.0011228051996428747,100.0
18,0.0009940409697085416,100.0
19,0.00086534401179342,100.0
20,0.0007495840048800748,100.0
21,0.0006782802439145871,100.0
22,0.0006206181451922194,100.0
23,0.0005072937412330007,100.0
24,0.0004872078997428295,100.0
25,0.000470809815301034,100.0
26,0.00041577563309079025,100.0
27,0.00039912888443265364,100.0
28,0.0003638338620519443,100.0
29,0.00036647644115304635,100.0
30,0.00035092921085738053,100.0
31,0.00033827821498809597,100.0
32,0.0003442500820296316,100.0
33,0.0003375594956969817,100.0
34,0.00033045086946709043,100.0
35,0.0003241775709847432,100.0
36,0.0003205893474526475,100.0
37,0.0003246191963688059,100.0
38,0.0003354051524573671,100.0
39,0.0003259554392496618,100.0
40,0.0003313559109858256,100.0
41,0.0003804651004472925,100.0
42,0.00039967508562111935,100.0
43,3.622938385919995,49.26739926739927
44,3.4521052983342386,20.87912087912088
45,2.392857167996517,39.84824699110413
46,1.6573348888734571,56.567242281527996
47,1.1988652839141638,67.3992673992674
48,0.8980267879103316,74.93458922030351
49,0.6827088957335673,80.53375196232338
50,0.5556985575731109,83.6473050758765
51,0.44134762819831064,86.26373626373626
52,0.3129324398833473,90.81632653061224
53,0.2605935725712908,92.07221350078493
54,0.20335122093963784,93.61590790162218
55,0.1560479617569925,95.10727367870226
56,0.13206093231228744,96.07535321821035
57,0.09164472352586636,97.46206174777603
58,0.09314319879754263,97.48822605965462
59,0.08351215033088716,97.7498691784406
60,0.136759879485685,95.578231292517
61,0.15820424259342505,94.76713762428048
62,0.13379107063103998,95.76138147566719
63,0.13652237549861324,95.31658817373103
64,0.09209006362068815,97.14809000523287
65,0.0516057568681458,98.27315541601256
66,0.05200772898803864,98.43014128728414
67,0.02839786157235313,99.16274201988487
68,0.01858027713043856,99.58137100994244
69,0.018199648870452986,99.47671376242805
70,0.018745026541683748,99.45054945054946
71,0.019672377335563377,99.45054945054946
72,0.01681978751265374,99.50287807430665
73,0.013094260260505525,99.63369963369964
74,0.017260801769732846,99.47671376242805
75,0.017790269296692342,99.55520669806384
76,0.022834684061172394,99.37205651491365
77,0.01821852254334419,99.52904238618524
78,0.024615248253800254,99.21507064364206
79,0.031008362005461566,99.11041339612768
80,0.025917482123033898,99.26739926739927
81,0.021859267895619962,99.37205651491365
82,0.013069699333464335,99.65986394557824
83,0.007503745813009038,99.86917844060702
84,0.0033510930030004812,99.9738356881214
85,0.0028025012592615586,100.0
86,0.0020475211973202284,100.0
87,0.001823702413900787,100.0
88,0.0019516443466347148,100.0
89,0.0012567516628254464,100.0
90,0.001337745696194169,100.0
91,0.0010950370727057037,100.0
92,0.0010195539641189293,100.0
93,0.0010995076145944311,100.0
94,0.0009482684956533283,100.0
95,0.0007266261912628907,100.0
96,0.0010208803485721812,100.0
97,0.0012129125374683723,100.0
98,0.0008462177081505584,100.0
99,0.0008827354318955692,100.0
100,0.0008107291793507733,100.0
