Epoch,Loss,Accuracy
1,0.15034249780821227,22.83973758200564
2,0.11830668718493272,41.30792460689371
3,0.09147801295025242,51.408934707903796
4,0.07636860183910611,56.52192023326044
5,0.06790275900557484,59.59283557221703
6,0.06263065800915674,61.94418410913261
7,0.0585743591086971,63.86233468707696
8,0.056108374967915084,64.81620326981155
9,0.05411760496212445,65.82422159741752
10,0.053084684363038266,66.3417681974383
11,0.05137135168454286,67.32271165260853
12,0.05014807385907755,67.9985421222535
13,0.04953006589689206,68.14224721441217
14,0.04934758725304067,68.19223159429345
15,0.04841583117176987,68.88888888888893
16,0.04829197575392592,68.98260960116632
17,0.04846252515092748,68.76705196292824
18,0.047689472382753784,69.50744558991988
19,0.04738379304402882,69.4834947412267
20,0.04733934984750457,69.43767572633556
21,0.04694138012852046,69.86774966156403
22,0.0478611333212492,69.3502030615433
23,0.047217884625842685,69.80943455170261
24,0.04799887219834369,69.37311256898892
25,0.04728350521759786,69.75528480683123
26,0.047509065253141615,69.74383005310841
27,0.047474483626533004,69.77611163178167
28,0.047877857439168746,69.52202436738514
29,0.049532352444232534,68.88576486514634
30,0.04811163735655984,69.51681766114758
31,0.04759963263543099,69.89690721649482
32,0.047824991057239655,69.69072164948457
33,0.047376061572062804,69.9354368426533
34,0.04714893378778217,69.91773404144539
35,0.04669005462509353,70.34884931792146
36,0.045953690663261715,70.5560762261793
37,0.0454223995989899,70.73206289701132
38,0.04567901999129565,70.71540143705086
39,0.04526166687319471,70.9049255441008
40,0.045293696272695805,71.04134124752682
41,0.0466323303526005,70.39987503905031
42,0.044436193202523025,71.35478496303233
43,0.04393110653750368,71.7952723107363
44,0.0438414815448455,71.5609705300427
45,0.04353469787837611,71.86608351556804
46,0.043160336985031966,72.08268249505365
47,0.043303420552759854,72.03790482140995
48,0.04265378253963293,72.26283453087579
49,0.04249873454282476,72.54295532646049
50,0.04182661700468907,72.91679683432264
51,0.042017318650798496,72.5846089763615
52,0.04149212364004957,73.05112985525358
53,0.04163677734082814,72.65646152244089
