Epoch,Loss,Accuracy
1,5.6883728981018065,1.2121212121212122
2,5.661642551422119,0.9090909090909091
3,5.641374492645264,0.9090909090909091
4,5.566114521026611,1.5151515151515151
5,5.503380966186524,1.5151515151515151
6,5.405716037750244,1.8181818181818181
7,5.310127830505371,2.727272727272727
8,5.173402881622314,4.545454545454546
9,5.034445095062256,5.151515151515151
10,4.888522720336914,9.090909090909092
11,4.746387195587158,16.363636363636363
12,4.558607578277588,21.515151515151516
13,4.428146457672119,24.848484848484848
14,4.180440044403076,39.696969696969695
15,3.9657990455627443,53.63636363636364
16,3.7702927112579347,64.54545454545455
17,3.5287415027618407,73.93939393939394
18,3.331596851348877,77.57575757575758
19,3.042727470397949,84.24242424242424
20,2.826998710632324,87.87878787878788
21,2.569538402557373,93.63636363636364
22,2.3170302867889405,96.06060606060606
23,2.06455774307251,97.27272727272728
24,1.8539886236190797,97.57575757575758
25,1.6488686084747315,97.57575757575758
26,1.446668553352356,98.7878787878788
27,1.2731068134307861,98.7878787878788
28,1.0958290100097656,99.69696969696969
29,0.9458069920539856,99.69696969696969
30,0.8056455969810485,100.0
31,0.6938578486442566,100.0
32,0.586456573009491,100.0
33,0.5395252346992493,100.0
34,0.48285816311836244,100.0
35,0.41268475651741027,100.0
36,0.3734656810760498,100.0
37,0.3340023994445801,100.0
38,0.3051517605781555,100.0
39,0.2697236478328705,100.0
40,0.2580898284912109,100.0
41,0.23631958067417144,100.0
42,0.23910356760025026,100.0
43,0.2004351168870926,100.0
44,0.19044207632541657,100.0
45,0.1771072566509247,100.0
46,0.17208717465400697,100.0
47,0.16313537657260896,100.0
48,0.1524673193693161,100.0
49,0.14514335691928865,100.0
50,0.14369837641716005,100.0
51,0.1364327758550644,100.0
52,0.12839141339063645,100.0
53,0.1216359168291092,100.0
54,0.12398910075426102,100.0
55,0.11705357432365418,100.0
56,0.11069620996713639,100.0
57,0.10962689220905304,100.0
58,0.1035501480102539,100.0
59,0.1005019098520279,100.0
60,0.10045497715473176,100.0
61,0.09631257951259613,100.0
62,0.09135048538446426,100.0
63,0.08828608095645904,100.0
64,0.08800893276929855,100.0
65,0.08645070642232895,100.0
66,0.08285851776599884,100.0
67,0.08241669833660126,100.0
68,0.08289796113967896,100.0
69,0.07823010087013245,100.0
70,0.07854886054992676,100.0
71,0.0793508991599083,100.0
72,0.07154460698366165,100.0
73,0.07412886023521423,100.0
74,0.07318174242973327,100.0
75,0.07397662997245788,100.0
76,0.07088845819234849,100.0
77,0.06948135644197465,100.0
78,0.06841325014829636,100.0
79,0.06875192970037461,100.0
80,0.06963533982634544,100.0
81,0.06774528846144676,100.0
82,0.06515388563275337,100.0
83,0.0643545262515545,100.0
84,0.06329153031110764,100.0
85,0.06723599135875702,100.0
86,0.06667021065950393,100.0
87,0.0619428001344204,100.0
88,0.05942058190703392,100.0
89,0.062187957018613814,100.0
90,0.061338864266872406,100.0
91,0.06260179281234741,100.0
92,0.05931931957602501,100.0
93,0.059358852356672286,100.0
94,0.06045311465859413,100.0
95,0.06404890865087509,100.0
96,0.06041519716382027,100.0
97,0.05934310629963875,100.0
98,0.05796917974948883,100.0
99,0.06280118227005005,100.0
100,0.058843012899160385,100.0
