Epoch,Loss,Accuracy
1,5.31908540725708,2.73224043715847
2,3.0580872376759847,45.13661202185793
3,1.121294871966044,88.52459016393442
4,0.20769112755854924,99.1256830601093
5,0.037540967514117556,100.0
6,0.009984511913110812,100.0
7,0.0037062271498143674,100.0
8,0.0017484656069427728,100.0
9,0.0008538213868935902,100.0
10,0.0006571407138835639,100.0
11,0.0005047263926826418,100.0
12,0.00043377396650612354,100.0
13,0.00035653936016994217,100.0
14,0.00032662764424458147,100.0
15,0.0002898111386457458,100.0
16,0.00026584221050143244,100.0
17,0.0002470449612398321,100.0
18,0.00023382006717535356,100.0
19,0.0002216542207558329,100.0
20,0.0002027206054966276,100.0
21,0.0001990938976329441,100.0
22,0.00017757604849369575,100.0
23,0.00016469706994636605,100.0
24,0.00016174695532148082,100.0
25,0.00015381686098407953,100.0
26,0.00015122543069689224,100.0
27,0.000149437384485888,100.0
28,0.00014304605671592677,100.0
29,0.00013538507579748208,100.0
30,0.00013491308636730536,100.0
31,0.00012616604217328132,100.0
32,0.00012704557690691823,100.0
33,0.00013038964874188727,100.0
34,0.00012682522986627495,100.0
35,0.00012120492028770969,100.0
36,0.00012714413993914302,100.0
37,0.00012092600324346374,100.0
38,0.00012030771710366631,100.0
39,0.00012386356344601762,100.0
40,0.00012255929953729113,100.0
41,0.00012148370879003779,100.0
42,0.00012080328597221523,100.0
43,0.00012343728255170087,100.0
44,0.00012239576074838017,100.0
45,0.00012536986614577472,100.0
46,0.0001231286800854529,100.0
47,0.00012619095990279067,100.0
48,0.0001243474063812755,100.0
49,0.00012758124842851732,100.0
50,0.0001254028014955111,100.0
51,0.00013085407505665595,100.0
52,0.0001282460434595123,100.0
53,0.0001269507032702677,100.0
54,0.00013258801918709652,100.0
55,0.00012818312146312867,100.0
56,0.00013206028136967992,100.0
57,0.00013091896932261685,100.0
58,0.0001313710463970589,100.0
59,0.00013133762646854545,100.0
60,0.00013221815315773712,100.0
61,0.00013525680211993554,100.0
62,0.00013482687403059874,100.0
63,0.00013868587314694498,100.0
64,0.00013849651392471666,100.0
65,0.00013573149384077016,100.0
66,0.00013703127042390405,100.0
67,0.0001396438034134917,100.0
68,0.00013660471013281493,100.0
69,0.0001409998119925149,100.0
70,0.00013593811502990623,100.0
71,0.00014564248558599502,100.0
72,0.00014169866529603798,100.0
73,0.0001428716651086385,100.0
74,0.00014020524783215176,100.0
75,0.00014049122643579418,100.0
76,0.00014355054202799995,100.0
77,0.0001530217171724265,100.0
78,0.0001399508284521289,100.0
79,0.00014461179525824264,100.0
80,0.000150010689200523,100.0
81,0.0001473534536974815,100.0
82,0.000143832121102605,100.0
83,0.00014568471815437078,100.0
84,0.00014884398357632259,100.0
85,0.0001467682717096371,100.0
86,0.00014078154442055771,100.0
87,0.00014311834869052594,100.0
88,0.00014697429821050416,100.0
89,0.00014834251002563784,100.0
90,0.00014403671035931136,100.0
91,0.00014792403720396882,100.0
92,0.00014929981795527663,100.0
93,0.00014250734626936417,100.0
94,0.00014639913861174135,100.0
95,0.00014986584525710593,100.0
96,0.00014408770948648453,100.0
97,0.00014564875164069235,100.0
98,0.00015335348677278187,100.0
99,0.00014683552435599268,100.0
100,0.00014421922581580777,100.0
